field_id,lucode,crop_name,fs25_fruit,category,area_ha,priority
field_0109,AC17,Spring Barley,barley,arable,0.416,1
field_0110,AC17,Spring Barley,barley,arable,0.416,1
field_0111,AC17,Spring Barley,barley,arable,0.416,1
field_0112,AC17,Spring Barley,barley,arable,0.416,1
field_0113,AC01,Winter Wheat,wheat,arable,0.416,1
field_0114,AC17,Spring Barley,barley,arable,0.416,1
field_0115,AC17,Spring Barley,barley,arable,0.416,1
field_0116,AC19,Spring Oats,oat,arable,0.416,1
field_0117,AC32,Maize,maize,arable,0.416,1
field_0118,AC17,Spring Barley,barley,arable,0.416,1
field_0119,AC01,Winter Wheat,wheat,arable,0.416,1
field_0120,AC17,Spring Barley,barley,arable,0.416,1
field_0121,AC17,Spring Barley,barley,arable,0.416,1
field_0122,AC19,Spring Oats,oat,arable,0.416,1
field_0123,AC17,Spring Barley,barley,arable,0.416,1
field_0124,AC01,Winter Wheat,wheat,arable,0.416,1
field_0125,AC17,Spring Barley,barley,arable,0.416,1
field_0126,AC17,Spring Barley,barley,arable,0.416,1
field_0127,AC17,Spring Barley,barley,arable,0.416,1
field_0128,AC17,Spring Barley,barley,arable,0.416,1
field_0129,AC17,Spring Barley,barley,arable,0.416,1
field_0130,AC17,Spring Barley,barley,arable,0.416,1
field_0131,AC17,Spring Barley,barley,arable,0.416,1
field_0132,AC32,Maize,maize,arable,0.416,1
field_0133,AC17,Spring Barley,barley,arable,0.416,1
field_0134,AC17,Spring Barley,barley,arable,0.416,1
field_0135,AC17,Spring Barley,barley,arable,0.416,1
field_0136,AC17,Spring Barley,barley,arable,0.416,1
field_0137,AC01,Winter Wheat,wheat,arable,0.416,1
field_0138,AC17,Spring Barley,barley,arable,0.416,1
field_0139,AC17,Spring Barley,barley,arable,0.416,1
field_0140,AC17,Spring Barley,barley,arable,0.416,1
field_0141,AC17,Spring Barley,barley,arable,0.416,1
field_0142,AC17,Spring Barley,barley,arable,0.416,1
field_0143,AC17,Spring Barley,barley,arable,0.416,1
field_0144,AC17,Spring Barley,barley,arable,0.416,1
field_0145,AC17,Spring Barley,barley,arable,0.416,1
field_0146,AC17,Spring Barley,barley,arable,0.416,1
field_0147,AC17,Spring Barley,barley,arable,0.416,1
field_0148,AC17,Spring Barley,barley,arable,0.416,1
field_0149,AC17,Spring Barley,barley,arable,0.416,1
field_0150,AC17,Spring Barley,barley,arable,0.416,1
field_0151,AC01,Winter Wheat,wheat,arable,0.416,1
field_0152,AC32,Maize,maize,arable,0.416,1
field_0153,AC01,Winter Wheat,wheat,arable,0.416,1
field_0154,AC17,Spring Barley,barley,arable,0.416,1
field_0155,AC17,Spring Barley,barley,arable,0.416,1
field_0156,AC01,Winter Wheat,wheat,arable,0.416,1
field_0157,AC17,Spring Barley,barley,arable,0.416,1
field_0158,AC01,Winter Wheat,wheat,arable,0.416,1
field_0159,AC17,Spring Barley,barley,arable,0.416,1
field_0160,AC01,Winter Wheat,wheat,arable,0.416,1
field_0161,AC17,Spring Barley,barley,arable,0.416,1
field_0162,AC17,Spring Barley,barley,arable,0.416,1
field_0163,AC17,Spring Barley,barley,arable,0.416,1
field_0164,AC01,Winter Wheat,wheat,arable,0.416,1
field_0165,AC17,Spring Barley,barley,arable,0.416,1
field_0166,AC32,Maize,maize,arable,0.416,1
field_0167,AC17,Spring Barley,barley,arable,0.416,1
field_0168,AC17,Spring Barley,barley,arable,0.416,1
field_0169,AC17,Spring Barley,barley,arable,0.416,1
field_0170,AC01,Winter Wheat,wheat,arable,0.416,1
field_0171,AC17,Spring Barley,barley,arable,0.416,1
field_0172,AC17,Spring Barley,barley,arable,0.416,1
field_0173,AC17,Spring Barley,barley,arable,0.416,1
field_0174,AC17,Spring Barley,barley,arable,0.416,1
field_0175,AC17,Spring Barley,barley,arable,0.416,1
field_0176,AC17,Spring Barley,barley,arable,0.416,1
field_0177,AC17,Spring Barley,barley,arable,0.416,1
field_0178,AC17,Spring Barley,barley,arable,0.416,1
field_0179,AC17,Spring Barley,barley,arable,0.416,1
field_0180,AC17,Spring Barley,barley,arable,0.416,1
field_0181,AC32,Maize,maize,arable,0.416,1
field_0182,AC17,Spring Barley,barley,arable,0.416,1
field_0183,AC17,Spring Barley,barley,arable,0.416,1
field_0184,AC17,Spring Barley,barley,arable,0.416,1
field_0185,AC17,Spring Barley,barley,arable,0.416,1
field_0186,AC17,Spring Barley,barley,arable,0.416,1
field_0187,AC17,Spring Barley,barley,arable,0.416,1
field_0188,AC17,Spring Barley,barley,arable,0.416,1
field_0189,AC17,Spring Barley,barley,arable,0.416,1
field_0190,AC17,Spring Barley,barley,arable,0.416,1
field_0191,AC01,Winter Wheat,wheat,arable,0.416,1
field_0192,AC17,Spring Barley,barley,arable,0.416,1
field_0193,AC17,Spring Barley,barley,arable,0.416,1
field_0194,AC17,Spring Barley,barley,arable,0.416,1
field_0195,AC32,Maize,maize,arable,0.416,1
field_0196,AC17,Spring Barley,barley,arable,0.416,1
field_0197,AC17,Spring Barley,barley,arable,0.416,1
field_0198,AC17,Spring Barley,barley,arable,0.416,1
field_0199,AC17,Spring Barley,barley,arable,0.416,1
field_0200,AC17,Spring Barley,barley,arable,0.416,1
field_0201,AC17,Spring Barley,barley,arable,0.416,1
field_0202,AC17,Spring Barley,barley,arable,0.416,1
field_0203,AC01,Winter Wheat,wheat,arable,0.416,1
field_0204,AC01,Winter Wheat,wheat,arable,0.416,1
field_0205,AC32,Maize,maize,arable,0.416,1
field_0206,AC01,Winter Wheat,wheat,arable,0.416,1
field_0207,AC17,Spring Barley,barley,arable,0.416,1
field_0208,AC01,Winter Wheat,wheat,arable,0.416,1
field_0209,AC32,Maize,maize,arable,0.416,1
field_0210,AC17,Spring Barley,barley,arable,0.416,1
field_0211,AC17,Spring Barley,barley,arable,0.416,1
field_0212,AC17,Spring Barley,barley,arable,0.416,1
field_0213,AC01,Winter Wheat,wheat,arable,0.416,1
field_0214,AC17,Spring Barley,barley,arable,0.416,1
field_0215,AC17,Spring Barley,barley,arable,0.416,1
field_0216,AC01,Winter Wheat,wheat,arable,0.416,1
field_0217,AC17,Spring Barley,barley,arable,0.416,1
field_0218,AC17,Spring Barley,barley,arable,0.416,1
field_0219,AC01,Winter Wheat,wheat,arable,0.416,1
